Tag,Title,Organisation,URL,Relevance
"Nigeria policy","National Security Strategy 2019","Federal Republic of Nigeria / NCTC","https://nctc.gov.ng/storage/2024/01/NSS-2019.pdf","Comprehensive objectives, inter-agency implementation and measurable outcomes."
"Nigeria maritime","Deep Blue Project launch and asset model","NIMASA","https://nimasa.gov.ng/president-buhari-launches-deep-blue-project-in-lagos/","Existing integrated land, sea, air and C4i foundation."
"Nigeria hydrography","National Hydrographic Agency survey fleet","NHA","https://nha.gov.ng/survey-fleet/","NNS LANA, NNS OCHUZO, survey launches and existing KONGSBERG multibeam systems."
"KONGSBERG","Surveillance and monitoring portfolio","KONGSBERG","https://www.kongsberg.com/what-we-do/ocean-space/surveillance-monitoring/","Official AIS, cView, Foresight, HUGIN, sonar, inspection and awareness portfolio."
"KONGSBERG","HUGIN autonomous underwater vehicle","KONGSBERG","https://www.kongsberg.com/what-we-do/ocean-space/autonomous-and-uncrewed-solutions/auv/hugin/","Official multi-sensor hydrography, geophysical survey and inspection capabilities."
"Exail","DriX H-8 medium-range USV","Exail","https://www.exail.com/product/drix-h8-medium-range-usv","Official supervised-autonomy, payload, hydrography and remote-control capability."
"Exail","DriX H-9 selected by Shom","Exail","https://www.exail.com/news/shom-strengthens-its-hydrographic-capabilities-with-drix-h-9-usv","Official case for accelerated certified hydrographic acquisition and coverage."
"TSL","TSL Logistics operations and services","TSL Logistics","https://tsllog.tsllogisticsltd.com/tsl-operations/","Terminal, pipeline, infrastructure, inventory, consultancy, HSSEQ and technology credentials."
"Rule of law","Strategic Vision for Nigeria 2030","UNODC","https://www.unodc.org/conig/uploads/documents/documents/UNODC_Strategic_Vision_for_Nigeria_2030-WEB_VERSION.pdf","Justice, terrorism prevention, organised crime, maritime crime, environment and integrity."
"Maritime evidence","Piracy and armed robbery reporting","IMO","https://www.imo.org/en/ourwork/security/pages/piracy-reports-default.aspx","Authoritative incident-reporting framework and reports."
"Cyber law","Designation and Protection of CNII Order 2024","Federal Republic of Nigeria / National Library","https://nigeriareposit.nln.gov.ng/items/dc4b6ee8-5165-4108-b985-bf6fdff58274","Official gazette record for critical national information infrastructure."
"Geospatial","Nigeria ADM1 boundaries","geoBoundaries / GRID3","https://www.geoboundaries.org/api/current/gbOpen/NGA/ADM1/","CC BY 4.0 geometry used only for the illustrative map."
